מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
P3085,3067993,Lighting Fixtures,Topaz 1200mm 24h,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3128592,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3085,3128612,Lighting Fixtures,Topaz 1200mm,M_Recessed Direct-Indirect Light - Asymmetrical,P3
P3066,1727861,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3066,1727862,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3066,2666862,Electrical Equipment,800mmx400mmx2200h,M_Transformer Switchboard,P3
P3066,4071257,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3066,4264772,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3066,2311744,Mechanical Equipment,AWSQ 450,AWSQ 450,P3
P3006,2262178,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3061,1608270,Electrical Equipment,60x240x210,Yani_Circuit breaker_SwitchBoard,P3
P3061,4320055,Electrical Fixtures,xשקע תקשורת 2,SOCKETS1,P3
P3002,2109777,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,P3
P3002,2110811,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3002,2110812,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,P3
P3002,3059234,Lighting Fixtures,700 24h,פס לד שקוע,P3
P3002,3059240,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3002,3059241,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3002,3059242,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3002,3059243,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3002,3059244,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3002,3059245,Lighting Fixtures,151 24h,פס לד שקוע,P3
P3063,3129192,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3063,3129310,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3063,3129332,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3063,4071197,Electrical Fixtures,Normal x2,Frame_Socket,P3
P3063,2311767,Mechanical Equipment,AWSQ 450,AWSQ 450,P3
P3093,1728863,Lighting Fixtures,Emergency Lamp,M_Ceiling Light - Linear Box1,P3
P3093,2262077,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3093,2262080,Electrical Fixtures,W,M_Junction Boxes - W,P3
P3093,2708697,Lighting Fixtures,42W 4000K 24h,סי לד 6600,P3
P3093,2708764,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3093,2708800,Lighting Fixtures,42W 4000K,סי לד 6600,P3
P3093,3129148,Lighting Fixtures,42W 4000K,סי לד 6600,P3
