מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
לא משויך,1613709,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,לא
לא משויך,1615449,Lighting Fixtures,Emergency LENS LF3 (CD),Lighting_Emergency-Security_Daisalux-Lens-L_CD-FR,לא
לא משויך,1624626,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624631,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624632,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624633,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624634,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624636,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624637,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624638,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624642,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624643,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624645,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624646,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624647,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624648,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624649,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624651,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624652,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624653,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624654,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624655,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624656,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624657,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624658,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624659,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
